gene,kegg_id,alia,copy
PPP2R3C,hsa:55012,SPGF36,PPP2R3C (copy)
PPP2R3C,hsa:55012,protein phosphatase 2 regulatory subunit B''gamma,PPP2R3C (copy)
PPP2CA,hsa:5515,NEDLBA,PPP2CA (copy)
PPP2CA,hsa:5515,PP2Ac,PPP2CA (copy)
PPP2CA,hsa:5515,PP2CA,PPP2CA (copy)
PPP2CA,hsa:5515,PP2Calpha,PPP2CA (copy)
PPP2CA,hsa:5515,RP-C,PPP2CA (copy)
PPP2CA,hsa:5515,protein phosphatase 2 catalytic subunit alpha,PPP2CA (copy)
PPP2CB,hsa:5516,PP2Abeta,PPP2CB (copy)
PPP2CB,hsa:5516,PP2CB,PPP2CB (copy)
PPP2CB,hsa:5516,protein phosphatase 2 catalytic subunit beta,PPP2CB (copy)
PPP2R1A,hsa:5518,MRD36,PPP2R1A (copy)
PPP2R1A,hsa:5518,PP2A-Aalpha,PPP2R1A (copy)
PPP2R1A,hsa:5518,PP2AA,PPP2R1A (copy)
PPP2R1A,hsa:5518,PP2AAALPHA,PPP2R1A (copy)
PPP2R1A,hsa:5518,PR65A,PPP2R1A (copy)
PPP2R1A,hsa:5518,protein phosphatase 2 scaffold subunit Aalpha,PPP2R1A (copy)
PPP2R1B,hsa:5519,PP2A-Abeta,PPP2R1B (copy)
PPP2R1B,hsa:5519,PR65B,PPP2R1B (copy)
PPP2R1B,hsa:5519,protein phosphatase 2 scaffold subunit Abeta,PPP2R1B (copy)
PPP2R2A,hsa:5520,B55A,PPP2R2A (copy)
PPP2R2A,hsa:5520,B55ALPHA,PPP2R2A (copy)
PPP2R2A,hsa:5520,PR52A,PPP2R2A (copy)
PPP2R2A,hsa:5520,PR55A,PPP2R2A (copy)
PPP2R2A,hsa:5520,PR55alpha,PPP2R2A (copy)
PPP2R2A,hsa:5520,protein phosphatase 2 regulatory subunit Balpha,PPP2R2A (copy)
PPP2R2B,hsa:5521,B55BETA,PPP2R2B (copy)
PPP2R2B,hsa:5521,PP2AB55BETA,PPP2R2B (copy)
PPP2R2B,hsa:5521,PP2ABBETA,PPP2R2B (copy)
PPP2R2B,hsa:5521,PP2APR55B,PPP2R2B (copy)
PPP2R2B,hsa:5521,PP2APR55BETA,PPP2R2B (copy)
PPP2R2B,hsa:5521,PR2AB55BETA,PPP2R2B (copy)
PPP2R2B,hsa:5521,PR2ABBETA,PPP2R2B (copy)
PPP2R2B,hsa:5521,PR2APR55BETA,PPP2R2B (copy)
PPP2R2B,hsa:5521,PR52B,PPP2R2B (copy)
PPP2R2B,hsa:5521,PR55-BETA,PPP2R2B (copy)
PPP2R2B,hsa:5521,PR55BETA,PPP2R2B (copy)
PPP2R2B,hsa:5521,SCA12,PPP2R2B (copy)
PPP2R2B,hsa:5521,protein phosphatase 2 regulatory subunit Bbeta,PPP2R2B (copy)
PPP2R2C,hsa:5522,B55-GAMMA,PPP2R2C (copy)
PPP2R2C,hsa:5522,B55gamma,PPP2R2C (copy)
PPP2R2C,hsa:5522,IMYPNO,PPP2R2C (copy)
PPP2R2C,hsa:5522,IMYPNO1,PPP2R2C (copy)
PPP2R2C,hsa:5522,PR52,PPP2R2C (copy)
PPP2R2C,hsa:5522,PR55G,PPP2R2C (copy)
PPP2R2C,hsa:5522,protein phosphatase 2 regulatory subunit Bgamma,PPP2R2C (copy)
PPP2R3A,hsa:5523,PPP2R3,PPP2R3A (copy)
PPP2R3A,hsa:5523,PR130,PPP2R3A (copy)
PPP2R3A,hsa:5523,PR72,PPP2R3A (copy)
PPP2R3A,hsa:5523,protein phosphatase 2 regulatory subunit B''alpha,PPP2R3A (copy)
PPP2R5A,hsa:5525,B56A,PPP2R5A (copy)
PPP2R5A,hsa:5525,B56alpha,PPP2R5A (copy)
PPP2R5A,hsa:5525,PR61A,PPP2R5A (copy)
PPP2R5A,hsa:5525,protein phosphatase 2 regulatory subunit B'alpha,PPP2R5A (copy)
PPP2R5B,hsa:5526,B56B,PPP2R5B (copy)
PPP2R5B,hsa:5526,B56beta,PPP2R5B (copy)
PPP2R5B,hsa:5526,PR61B,PPP2R5B (copy)
PPP2R5B,hsa:5526,protein phosphatase 2 regulatory subunit B'beta,PPP2R5B (copy)
PPP2R5C,hsa:5527,B56G,PPP2R5C (copy)
PPP2R5C,hsa:5527,B56gamma,PPP2R5C (copy)
PPP2R5C,hsa:5527,PR61G,PPP2R5C (copy)
PPP2R5C,hsa:5527,protein phosphatase 2 regulatory subunit B'gamma,PPP2R5C (copy)
PPP2R5D,hsa:5528,B56D,PPP2R5D (copy)
PPP2R5D,hsa:5528,B56delta,PPP2R5D (copy)
PPP2R5D,hsa:5528,MRD35,PPP2R5D (copy)
PPP2R5D,hsa:5528,protein phosphatase 2 regulatory subunit B'delta,PPP2R5D (copy)
PPP2R5E,hsa:5529,B56E,PPP2R5E (copy)
PPP2R5E,hsa:5529,B56epsilon,PPP2R5E (copy)
PPP2R5E,hsa:5529,protein phosphatase 2 regulatory subunit B'epsilon,PPP2R5E (copy)
PPP2R2D,hsa:55844,B55D,PPP2R2D (copy)
PPP2R2D,hsa:55844,B55delta,PPP2R2D (copy)
PPP2R2D,hsa:55844,MDS026,PPP2R2D (copy)
PPP2R2D,hsa:55844,protein phosphatase 2 regulatory subunit Bdelta,PPP2R2D (copy)
TOB1,hsa:10140,APRO5,TOB1 (copy)
TOB1,hsa:10140,APRO6,TOB1 (copy)
TOB1,hsa:10140,PIG49,TOB1 (copy)
TOB1,hsa:10140,TOB,TOB1 (copy)
TOB1,hsa:10140,TROB,TOB1 (copy)
TOB1,hsa:10140,TROB1,TOB1 (copy)
TOB1,hsa:10140,transducer of ERBB2,TOB1 (copy)
TOB1,hsa:10140,1,TOB1 (copy)
TOB2,hsa:10766,APRO5,TOB2 (copy)
TOB2,hsa:10766,TOB4,TOB2 (copy)
TOB2,hsa:10766,TOBL,TOB2 (copy)
TOB2,hsa:10766,TROB2,TOB2 (copy)
TOB2,hsa:10766,transducer of ERBB2,TOB2 (copy)
TOB2,hsa:10766,2,TOB2 (copy)
BTG3,hsa:10950,ANA,BTG3 (copy)
BTG3,hsa:10950,ANA/BTG3,BTG3 (copy)
BTG3,hsa:10950,APRO4,BTG3 (copy)
BTG3,hsa:10950,TOB5,BTG3 (copy)
BTG3,hsa:10950,TOB55,BTG3 (copy)
BTG3,hsa:10950,TOFA,BTG3 (copy)
BTG3,hsa:10950,BTG anti-proliferation factor 3,BTG3 (copy)
BTG4,hsa:54766,APRO3,BTG4 (copy)
BTG4,hsa:54766,OOMD8,BTG4 (copy)
BTG4,hsa:54766,PC3B,BTG4 (copy)
BTG4,hsa:54766,BTG anti-proliferation factor 4,BTG4 (copy)
BTG1,hsa:694,APRO2,BTG1 (copy)
BTG1,hsa:694,BTG anti-proliferation factor 1,BTG1 (copy)
BTG2,hsa:7832,APRO1,BTG2 (copy)
BTG2,hsa:7832,PC3,BTG2 (copy)
BTG2,hsa:7832,TIS21,BTG2 (copy)
BTG2,hsa:7832,BTG anti-proliferation factor 2,BTG2 (copy)
CNOT7,hsa:29883,CAF-1,CNOT7 (copy)
CNOT7,hsa:29883,CAF1,CNOT7 (copy)
CNOT7,hsa:29883,Caf1a,CNOT7 (copy)
CNOT7,hsa:29883,hCAF-1,CNOT7 (copy)
CNOT7,hsa:29883,CCR4-NOT transcription complex subunit 7,CNOT7 (copy)
CNOT8,hsa:9337,CAF1,CNOT8 (copy)
CNOT8,hsa:9337,CALIF,CNOT8 (copy)
CNOT8,hsa:9337,Caf1b,CNOT8 (copy)
CNOT8,hsa:9337,POP2,CNOT8 (copy)
CNOT8,hsa:9337,hCAF1,CNOT8 (copy)
CNOT8,hsa:9337,CCR4-NOT transcription complex subunit 8,CNOT8 (copy)
PAN2,hsa:9924,USP52,PAN2 (copy)
PAN2,hsa:9924,poly(A) specific ribonuclease subunit PAN2,PAN2 (copy)
TNPO3,hsa:23534,IPO12,TNPO3 (copy)
TNPO3,hsa:23534,LGMD1F,TNPO3 (copy)
TNPO3,hsa:23534,LGMDD2,TNPO3 (copy)
TNPO3,hsa:23534,MTR10A,TNPO3 (copy)
TNPO3,hsa:23534,TRN-SR,TNPO3 (copy)
TNPO3,hsa:23534,TRN-SR2,TNPO3 (copy)
TNPO3,hsa:23534,TRNSR,TNPO3 (copy)
TNPO3,hsa:23534,transportin 3,TNPO3 (copy)
PPIA,hsa:5478,CYPA,PPIA (copy)
PPIA,hsa:5478,CYPH,PPIA (copy)
PPIA,hsa:5478,HEL-S-69p,PPIA (copy)
PPIA,hsa:5478,peptidylprolyl isomerase A,PPIA (copy)
CPSF7,hsa:79869,CFIm59,CPSF7 (copy)
CPSF7,hsa:79869,cleavage and polyadenylation specific factor 7,CPSF7 (copy)
AFF4,hsa:27125,AF5Q31,AFF4 (copy)
AFF4,hsa:27125,CHOPS,AFF4 (copy)
AFF4,hsa:27125,MCEF,AFF4 (copy)
AFF4,hsa:27125,AF4/FMR2 family member 4,AFF4 (copy)
CDK9,hsa:1025,C-2k,CDK9 (copy)
CDK9,hsa:1025,CDC2L4,CDK9 (copy)
CDK9,hsa:1025,CTK1,CDK9 (copy)
CDK9,hsa:1025,PITALRE,CDK9 (copy)
CDK9,hsa:1025,TAK,CDK9 (copy)
CDK9,hsa:1025,cyclin dependent kinase 9,CDK9 (copy)
RAN,hsa:5901,ARA24,RAN (copy)
RAN,hsa:5901,Gsp1,RAN (copy)
RAN,hsa:5901,TC4,RAN (copy)
RAN,hsa:5901,member RAS oncogene family,RAN (copy)
XPO1,hsa:7514,CRM-1,XPO1 (copy)
XPO1,hsa:7514,CRM1,XPO1 (copy)
XPO1,hsa:7514,emb,XPO1 (copy)
XPO1,hsa:7514,exp1,XPO1 (copy)
XPO1,hsa:7514,exportin 1,XPO1 (copy)
HGS,hsa:9146,HRS,HGS (copy)
HGS,hsa:9146,hepatocyte growth factor-regulated tyrosine kinase substrate,HGS (copy)
TSG101,hsa:7251,TSG10,TSG101 (copy)
TSG101,hsa:7251,VPS23,TSG101 (copy)
TSG101,hsa:7251,tumor susceptibility 101,TSG101 (copy)
PPARA,hsa:5465,NR1C1,PPARA (copy)
PPARA,hsa:5465,PPAR,PPARA (copy)
PPARA,hsa:5465,PPAR-alpha,PPARA (copy)
PPARA,hsa:5465,PPARalpha,PPARA (copy)
PPARA,hsa:5465,hPPAR,PPARA (copy)
PPARA,hsa:5465,peroxisome proliferator activated receptor alpha,PPARA (copy)
RXRA,hsa:6256,NR2B1,RXRA (copy)
RXRA,hsa:6256,RXR-alpha,RXRA (copy)
RXRA,hsa:6256,RXRalpha,RXRA (copy)
RXRA,hsa:6256,retinoid X receptor alpha,RXRA (copy)
RXRB,hsa:6257,DAUDI6,RXRB (copy)
RXRB,hsa:6257,H-2RIIBP,RXRB (copy)
RXRB,hsa:6257,NR2B2,RXRB (copy)
RXRB,hsa:6257,RCoR-1,RXRB (copy)
RXRB,hsa:6257,RXR-beta,RXRB (copy)
RXRB,hsa:6257,RXRbeta,RXRB (copy)
RXRB,hsa:6257,retinoid X receptor beta,RXRB (copy)
RXRG,hsa:6258,NR2B3,RXRG (copy)
RXRG,hsa:6258,RXR-gamma,RXRG (copy)
RXRG,hsa:6258,RXRC,RXRG (copy)
RXRG,hsa:6258,RXRgamma,RXRG (copy)
RXRG,hsa:6258,retinoid X receptor gamma,RXRG (copy)
PPARG,hsa:5468,CIMT1,PPARG (copy)
PPARG,hsa:5468,GLM1,PPARG (copy)
PPARG,hsa:5468,NR1C3,PPARG (copy)
PPARG,hsa:5468,PPARG1,PPARG (copy)
PPARG,hsa:5468,PPARG2,PPARG (copy)
PPARG,hsa:5468,PPARG5,PPARG (copy)
PPARG,hsa:5468,PPARgamma,PPARG (copy)
PPARG,hsa:5468,peroxisome proliferator activated receptor gamma,PPARG (copy)
BRCA1,hsa:672,BRCAI,BRCA1 (copy)
BRCA1,hsa:672,BRCC1,BRCA1 (copy)
BRCA1,hsa:672,BROVCA1,BRCA1 (copy)
BRCA1,hsa:672,FANCS,BRCA1 (copy)
BRCA1,hsa:672,IRIS,BRCA1 (copy)
BRCA1,hsa:672,PNCA4,BRCA1 (copy)
BRCA1,hsa:672,PPP1R53,BRCA1 (copy)
BRCA1,hsa:672,PSCP,BRCA1 (copy)
BRCA1,hsa:672,RNF53,BRCA1 (copy)
BRCA1,hsa:672,BRCA1 DNA repair associated,BRCA1 (copy)
BRIP1,hsa:83990,BACH1,BRIP1 (copy)
BRIP1,hsa:83990,FANCJ,BRIP1 (copy)
BRIP1,hsa:83990,OF,BRIP1 (copy)
BRIP1,hsa:83990,BRCA1 interacting helicase 1,BRIP1 (copy)
RAD50,hsa:10111,NBSLD,RAD50 (copy)
RAD50,hsa:10111,RAD502,RAD50 (copy)
RAD50,hsa:10111,hRad50,RAD50 (copy)
RAD50,hsa:10111,RAD50 double strand break repair protein,RAD50 (copy)
MRE11,hsa:4361,ATLD,MRE11 (copy)
MRE11,hsa:4361,HNGS1,MRE11 (copy)
MRE11,hsa:4361,MRE11A,MRE11 (copy)
MRE11,hsa:4361,MRE11B,MRE11 (copy)
MRE11,hsa:4361,MRE11 homolog,MRE11 (copy)
MRE11,hsa:4361,double strand break repair nuclease,MRE11 (copy)
PALB2,hsa:79728,FANCN,PALB2 (copy)
PALB2,hsa:79728,PNCA3,PALB2 (copy)
PALB2,hsa:79728,partner and localizer of BRCA2,PALB2 (copy)
BRCA2,hsa:675,BRCC2,BRCA2 (copy)
BRCA2,hsa:675,BROVCA2,BRCA2 (copy)
BRCA2,hsa:675,FACD,BRCA2 (copy)
BRCA2,hsa:675,FAD,BRCA2 (copy)
BRCA2,hsa:675,FAD1,BRCA2 (copy)
BRCA2,hsa:675,FANCD,BRCA2 (copy)
BRCA2,hsa:675,FANCD1,BRCA2 (copy)
BRCA2,hsa:675,GLM3,BRCA2 (copy)
BRCA2,hsa:675,PNCA2,BRCA2 (copy)
BRCA2,hsa:675,XRCC11,BRCA2 (copy)
BRCA2,hsa:675,BRCA2 DNA repair associated,BRCA2 (copy)
BABAM1,hsa:29086,C19orf62,BABAM1 (copy)
BABAM1,hsa:29086,HSPC142,BABAM1 (copy)
BABAM1,hsa:29086,MERIT40,BABAM1 (copy)
BABAM1,hsa:29086,NBA1,BABAM1 (copy)
BABAM1,hsa:29086,BRISC and BRCA1 A complex member 1,BABAM1 (copy)
BABAM2,hsa:9577,BRCC4,BABAM2 (copy)
BABAM2,hsa:9577,BRCC45,BABAM2 (copy)
BABAM2,hsa:9577,BRE,BABAM2 (copy)
BABAM2,hsa:9577,BRISC and BRCA1 A complex member 2,BABAM2 (copy)
SYCP3,hsa:50511,COR1,SYCP3 (copy)
SYCP3,hsa:50511,RPRGL4,SYCP3 (copy)
SYCP3,hsa:50511,SCP3,SYCP3 (copy)
SYCP3,hsa:50511,SPGF4,SYCP3 (copy)
SYCP3,hsa:50511,synaptonemal complex protein 3,SYCP3 (copy)
RBBP8,hsa:5932,COM1,RBBP8 (copy)
RBBP8,hsa:5932,CTIP,RBBP8 (copy)
RBBP8,hsa:5932,JWDS,RBBP8 (copy)
RBBP8,hsa:5932,RIM,RBBP8 (copy)
RBBP8,hsa:5932,SAE2,RBBP8 (copy)
RBBP8,hsa:5932,SCKL2,RBBP8 (copy)
RBBP8,hsa:5932,RB binding protein 8,RBBP8 (copy)
RBBP8,hsa:5932,endonuclease,RBBP8 (copy)
TELO2,hsa:9894,CLK2,TELO2 (copy)
TELO2,hsa:9894,TEL2,TELO2 (copy)
TELO2,hsa:9894,YHFS,TELO2 (copy)
TELO2,hsa:9894,telomere maintenance 2,TELO2 (copy)
ATR,hsa:545,FCTCS,ATR (copy)
ATR,hsa:545,FRP1,ATR (copy)
ATR,hsa:545,MEC1,ATR (copy)
ATR,hsa:545,SCKL,ATR (copy)
ATR,hsa:545,SCKL1,ATR (copy)
ATR,hsa:545,ATR serine/threonine kinase,ATR (copy)
FANCM,hsa:57697,FAAP250,FANCM (copy)
FANCM,hsa:57697,KIAA1596,FANCM (copy)
FANCM,hsa:57697,POF15,FANCM (copy)
FANCM,hsa:57697,SPGF28,FANCM (copy)
FANCM,hsa:57697,FA complementation group M,FANCM (copy)
FAAP24,hsa:91442,C19orf40,FAAP24 (copy)
FAAP24,hsa:91442,FA core complex associated protein 24,FAAP24 (copy)
FANCD2,hsa:2177,FA-D2,FANCD2 (copy)
FANCD2,hsa:2177,FA4,FANCD2 (copy)
FANCD2,hsa:2177,FACD,FANCD2 (copy)
FANCD2,hsa:2177,FAD,FANCD2 (copy)
FANCD2,hsa:2177,FAD2,FANCD2 (copy)
FANCD2,hsa:2177,FANCD,FANCD2 (copy)
FANCD2,hsa:2177,FA complementation group D2,FANCD2 (copy)
GNA12,hsa:2768,HG1M1,GNA12 (copy)
GNA12,hsa:2768,NNX3,GNA12 (copy)
GNA12,hsa:2768,RMP,GNA12 (copy)
GNA12,hsa:2768,gep,GNA12 (copy)
GNA12,hsa:2768,G protein subunit alpha 12,GNA12 (copy)
RASA2,hsa:5922,GAP1M,RASA2 (copy)
RASA2,hsa:5922,RAS p21 protein activator 2,RASA2 (copy)
GNG12,hsa:55970,HG3A,GNG12 (copy)
GNG12,hsa:55970,G protein subunit gamma 12,GNG12 (copy)
RAPGEF2,hsa:9693,CNrasGEF,RAPGEF2 (copy)
RAPGEF2,hsa:9693,NRAPGEP,RAPGEF2 (copy)
RAPGEF2,hsa:9693,PDZ-GEF1,RAPGEF2 (copy)
RAPGEF2,hsa:9693,PDZGEF1,RAPGEF2 (copy)
RAPGEF2,hsa:9693,RA-GEF,RAPGEF2 (copy)
RAPGEF2,hsa:9693,RA-GEF-1,RAPGEF2 (copy)
RAPGEF2,hsa:9693,RAGEF,RAPGEF2 (copy)
RAPGEF2,hsa:9693,Rap-GEP,RAPGEF2 (copy)
RAPGEF2,hsa:9693,nRap_GEP,RAPGEF2 (copy)
RAPGEF2,hsa:9693,Rap guanine nucleotide exchange factor 2,RAPGEF2 (copy)
RRAS2,hsa:22800,NS12,RRAS2 (copy)
RRAS2,hsa:22800,TC21,RRAS2 (copy)
RRAS2,hsa:22800,RAS related 2,RRAS2 (copy)
RASGRF1,hsa:5923,CDC25,RASGRF1 (copy)
RASGRF1,hsa:5923,CDC25L,RASGRF1 (copy)
RASGRF1,hsa:5923,GNRP,RASGRF1 (copy)
RASGRF1,hsa:5923,GRF1,RASGRF1 (copy)
RASGRF1,hsa:5923,GRF55,RASGRF1 (copy)
RASGRF1,hsa:5923,H-GRF55,RASGRF1 (copy)
RASGRF1,hsa:5923,PP13187,RASGRF1 (copy)
RASGRF1,hsa:5923,ras-GRF1,RASGRF1 (copy)
RASGRF1,hsa:5923,Ras protein specific guanine nucleotide releasing factor 1,RASGRF1 (copy)
RASGRF2,hsa:5924,GRF2,RASGRF2 (copy)
RASGRF2,hsa:5924,RAS-GRF2,RASGRF2 (copy)
RASGRF2,hsa:5924,Ras protein specific guanine nucleotide releasing factor 2,RASGRF2 (copy)
RASGRP1,hsa:10125,CALDAG-GEFI,RASGRP1 (copy)
RASGRP1,hsa:10125,CALDAG-GEFII,RASGRP1 (copy)
RASGRP1,hsa:10125,IMD64,RASGRP1 (copy)
RASGRP1,hsa:10125,RASGRP,RASGRP1 (copy)
RASGRP1,hsa:10125,RAS guanyl releasing protein 1,RASGRP1 (copy)
RASGRP2,hsa:10235,CALDAG-GEFI,RASGRP2 (copy)
RASGRP2,hsa:10235,CDC25L,RASGRP2 (copy)
RASGRP2,hsa:10235,RAS guanyl releasing protein 2,RASGRP2 (copy)
MRAS,hsa:22808,M-RAs,MRAS (copy)
MRAS,hsa:22808,NS11,MRAS (copy)
MRAS,hsa:22808,R-RAS3,MRAS (copy)
MRAS,hsa:22808,RRAS3,MRAS (copy)
MRAS,hsa:22808,muscle RAS oncogene homolog,MRAS (copy)
RRAS,hsa:6237,R-Ras,RRAS (copy)
RRAS,hsa:6237,RAS related,RRAS (copy)
RASGRP3,hsa:25780,GRP3,RASGRP3 (copy)
RASGRP3,hsa:25780,RAS guanyl releasing protein 3,RASGRP3 (copy)
RAP1A,hsa:5906,C21KG,RAP1A (copy)
RAP1A,hsa:5906,G-22K,RAP1A (copy)
RAP1A,hsa:5906,KREV-1,RAP1A (copy)
RAP1A,hsa:5906,KREV1,RAP1A (copy)
RAP1A,hsa:5906,RAP1,RAP1A (copy)
RAP1A,hsa:5906,SMGP21,RAP1A (copy)
RAP1A,hsa:5906,member of RAS oncogene family,RAP1A (copy)
RAP1B,hsa:5908,K-REV,RAP1B (copy)
RAP1B,hsa:5908,RAL1B,RAP1B (copy)
RAP1B,hsa:5908,member of RAS oncogene family,RAP1B (copy)
IL1A,hsa:3552,IL-1_alpha,IL1A (copy)
IL1A,hsa:3552,IL-1A,IL1A (copy)
IL1A,hsa:3552,IL1,IL1A (copy)
IL1A,hsa:3552,IL1-ALPHA,IL1A (copy)
IL1A,hsa:3552,IL1F1,IL1A (copy)
IL1A,hsa:3552,interleukin 1 alpha,IL1A (copy)
IL1R1,hsa:3554,CD121A,IL1R1 (copy)
IL1R1,hsa:3554,D2S1473,IL1R1 (copy)
IL1R1,hsa:3554,IL-1R-alpha,IL1R1 (copy)
IL1R1,hsa:3554,IL1R,IL1R1 (copy)
IL1R1,hsa:3554,IL1RA,IL1R1 (copy)
IL1R1,hsa:3554,P80,IL1R1 (copy)
IL1R1,hsa:3554,interleukin 1 receptor type 1,IL1R1 (copy)
IL1B,hsa:3553,IL-1,IL1B (copy)
IL1B,hsa:3553,IL1-BETA,IL1B (copy)
IL1B,hsa:3553,IL1F2,IL1B (copy)
IL1B,hsa:3553,IL1beta,IL1B (copy)
IL1B,hsa:3553,interleukin 1 beta,IL1B (copy)
TGFB1,hsa:7040,CED,TGFB1 (copy)
TGFB1,hsa:7040,DPD1,TGFB1 (copy)
TGFB1,hsa:7040,IBDIMDE,TGFB1 (copy)
TGFB1,hsa:7040,LAP,TGFB1 (copy)
TGFB1,hsa:7040,TGF-beta1,TGFB1 (copy)
TGFB1,hsa:7040,TGFB,TGFB1 (copy)
TGFB1,hsa:7040,TGFbeta,TGFB1 (copy)
TGFB1,hsa:7040,transforming growth factor beta 1,TGFB1 (copy)
TGFBR1,hsa:7046,AAT5,TGFBR1 (copy)
TGFBR1,hsa:7046,ACVRLK4,TGFBR1 (copy)
TGFBR1,hsa:7046,ALK-5,TGFBR1 (copy)
TGFBR1,hsa:7046,ALK5,TGFBR1 (copy)
TGFBR1,hsa:7046,ESS1,TGFBR1 (copy)
TGFBR1,hsa:7046,LDS1,TGFBR1 (copy)
TGFBR1,hsa:7046,LDS1A,TGFBR1 (copy)
TGFBR1,hsa:7046,LDS2A,TGFBR1 (copy)
TGFBR1,hsa:7046,MSSE,TGFBR1 (copy)
TGFBR1,hsa:7046,SKR4,TGFBR1 (copy)
TGFBR1,hsa:7046,TBR-i,TGFBR1 (copy)
TGFBR1,hsa:7046,TBRI,TGFBR1 (copy)
TGFBR1,hsa:7046,TGFR-1,TGFBR1 (copy)
TGFBR1,hsa:7046,tbetaR-I,TGFBR1 (copy)
TGFBR1,hsa:7046,transforming growth factor beta receptor 1,TGFBR1 (copy)
TGFB2,hsa:7042,G-TSF,TGFB2 (copy)
TGFB2,hsa:7042,LDS4,TGFB2 (copy)
TGFB2,hsa:7042,TGF-beta2,TGFB2 (copy)
TGFB2,hsa:7042,transforming growth factor beta 2,TGFB2 (copy)
TGFB3,hsa:7043,ARVD,TGFB3 (copy)
TGFB3,hsa:7043,ARVD1,TGFB3 (copy)
TGFB3,hsa:7043,LDS5,TGFB3 (copy)
TGFB3,hsa:7043,RNHF,TGFB3 (copy)
TGFB3,hsa:7043,TGF-beta3,TGFB3 (copy)
TGFB3,hsa:7043,transforming growth factor beta 3,TGFB3 (copy)
TGFBR2,hsa:7048,AAT3,TGFBR2 (copy)
TGFBR2,hsa:7048,FAA3,TGFBR2 (copy)
TGFBR2,hsa:7048,LDS1B,TGFBR2 (copy)
TGFBR2,hsa:7048,LDS2,TGFBR2 (copy)
TGFBR2,hsa:7048,LDS2B,TGFBR2 (copy)
TGFBR2,hsa:7048,MFS2,TGFBR2 (copy)
TGFBR2,hsa:7048,RIIC,TGFBR2 (copy)
TGFBR2,hsa:7048,TAAD2,TGFBR2 (copy)
TGFBR2,hsa:7048,TBR-ii,TGFBR2 (copy)
TGFBR2,hsa:7048,TBRII,TGFBR2 (copy)
TGFBR2,hsa:7048,TGFR-2,TGFBR2 (copy)
TGFBR2,hsa:7048,TGFbeta-RII,TGFBR2 (copy)
TGFBR2,hsa:7048,transforming growth factor beta receptor 2,TGFBR2 (copy)
DAXX,hsa:1616,BING2,DAXX (copy)
DAXX,hsa:1616,DAP6,DAXX (copy)
DAXX,hsa:1616,EAP1,DAXX (copy)
DAXX,hsa:1616,SMIM40,DAXX (copy)
DAXX,hsa:1616,death domain associated protein,DAXX (copy)
TAB2,hsa:23118,CHTD2,TAB2 (copy)
TAB2,hsa:23118,MAP3K7IP2,TAB2 (copy)
TAB2,hsa:23118,TAB-2,TAB2 (copy)
TAB2,hsa:23118,TGF-beta activated kinase 1 (MAP3K7) binding protein 2,TAB2 (copy)
ECSIT,hsa:51295,SITPEC,ECSIT (copy)
ECSIT,hsa:51295,ECSIT signaling integrator,ECSIT (copy)
SRF,hsa:6722,MCM1,SRF (copy)
SRF,hsa:6722,serum response factor,SRF (copy)
LAMTOR3,hsa:8649,MAP2K1IP1,LAMTOR3 (copy)
LAMTOR3,hsa:8649,MAPBP,LAMTOR3 (copy)
LAMTOR3,hsa:8649,MAPKSP1,LAMTOR3 (copy)
LAMTOR3,hsa:8649,MP1,LAMTOR3 (copy)
LAMTOR3,hsa:8649,PRO0633,LAMTOR3 (copy)
LAMTOR3,hsa:8649,Ragulator3,LAMTOR3 (copy)
LAMTOR3,hsa:8649,late endosomal/lysosomal adaptor,LAMTOR3 (copy)
LAMTOR3,hsa:8649,MAPK and MTOR activator 3,LAMTOR3 (copy)
MAPK8IP2,hsa:23542,IB-2,MAPK8IP2 (copy)
MAPK8IP2,hsa:23542,IB2,MAPK8IP2 (copy)
MAPK8IP2,hsa:23542,JIP2,MAPK8IP2 (copy)
MAPK8IP2,hsa:23542,PRKM8IPL,MAPK8IP2 (copy)
MAPK8IP2,hsa:23542,mitogen-activated protein kinase 8 interacting protein 2,MAPK8IP2 (copy)
MAPK8IP1,hsa:9479,IB1,MAPK8IP1 (copy)
MAPK8IP1,hsa:9479,JIP-1,MAPK8IP1 (copy)
MAPK8IP1,hsa:9479,JIP1,MAPK8IP1 (copy)
MAPK8IP1,hsa:9479,PRKM8IP,MAPK8IP1 (copy)
MAPK8IP1,hsa:9479,mitogen-activated protein kinase 8 interacting protein 1,MAPK8IP1 (copy)
MAP2K4,hsa:6416,JNKK,MAP2K4 (copy)
MAP2K4,hsa:6416,JNKK1,MAP2K4 (copy)
MAP2K4,hsa:6416,MAPKK4,MAP2K4 (copy)
MAP2K4,hsa:6416,MEK4,MAP2K4 (copy)
MAP2K4,hsa:6416,MKK4,MAP2K4 (copy)
MAP2K4,hsa:6416,PRKMK4,MAP2K4 (copy)
MAP2K4,hsa:6416,SAPKK-1,MAP2K4 (copy)
MAP2K4,hsa:6416,SAPKK1,MAP2K4 (copy)
MAP2K4,hsa:6416,SEK1,MAP2K4 (copy)
MAP2K4,hsa:6416,SERK1,MAP2K4 (copy)
MAP2K4,hsa:6416,SKK1,MAP2K4 (copy)
MAP2K4,hsa:6416,mitogen-activated protein kinase kinase 4,MAP2K4 (copy)
MAPK8IP3,hsa:23162,JIP-3,MAPK8IP3 (copy)
MAPK8IP3,hsa:23162,JIP3,MAPK8IP3 (copy)
MAPK8IP3,hsa:23162,JSAP1,MAPK8IP3 (copy)
