Entry,Entry_Name,Gene_Names,Protein_names,Gene_Names_synonym,gene_id,HGNC_name,HGNC_prev_name,HGNC_alias_name,HGNC_alias_symbol,NCBI_nomenclaturename,NCBI_otheraliases,Gene_name(primary)
P12314,FCGR1_HUMAN,FCGR1A; FCG1; FCGR1; IGFR1,High affinity immunoglobulin gamma Fc receptor I; IgG Fc receptor I; Fc-gamma RI; FcRI; Fc-gamma RIA; FcgammaRIa; CD antigen CD64,FCG1; FCGR1; IGFR1,2209,Fc gamma receptor Ia,Fc fragment of IgG; high affinity Ia; receptor for (CD64); Fc fragment of IgG; high affinity Ia; receptor (CD64); Fc fragment of IgG receptor Ia,Fc gamma RI,CD64; CD64A; FcgammaRI; FcgammaRIa; FCG1; FCGR1,Fc gamma receptor Ia,CD64; CD64A; FCG1; FCGR1; FCRI; FcgammaRI; IGFR1,FCGR1A
P12318,FCG2A_HUMAN,FCGR2A; CD32; FCG2; FCGR2A1; IGFR2,Low affinity immunoglobulin gamma Fc region receptor II-a; IgG Fc receptor II-a; CDw32; Fc-gamma RII-a; Fc-gamma-RIIa; FcRII-a; CD antigen CD32,CD32; FCG2; FCGR2A1; IGFR2,2212,Fc gamma receptor IIa,Fc fragment of IgG; low affinity IIa; receptor for (CD32); Fc fragment of IgG; low affinity IIa; receptor (CD32); Fc fragment of IgG receptor IIa,Immunoglobulin G Fc receptor II,CD32; CD32A; IGFR2; CDw32; Fc-gamma-RIIa; FcgammaRIIa,Fc gamma receptor IIa,CD32; CD32A; CDw32; FCG2; FCGR2; FCGR2A1; FcGR; FcgammaRIIa; IGFR2,FCGR2A
P12524,MYCL_HUMAN,MYCL; BHLHE38; LMYC; MYCL1,Protein L-Myc; Class E basic helix-loop-helix protein 38; bHLHe38; Protein L-Myc-1; V-myc myelocytomatosis viral oncogene homolog,BHLHE38; LMYC; MYCL1,4610,MYCL proto-oncogene; bHLH transcription factor,v-myc avian myelocytomatosis viral oncogene homolog 1; lung carcinoma derived,l-myc protein; myc-related gene from lung cancer; oncogene lmyc,LMYC; bHLHe38,MYCL proto-oncogene; bHLH transcription factor,L-Myc; LMYC; MYCL1; bHLHe38,MYCL
P12694,ODBA_HUMAN,BCKDHA,2-oxoisovalerate dehydrogenase subunit alpha; mitochondrial; EC 1.2.4.4; Branched-chain alpha-keto acid dehydrogenase E1 component alpha chain; BCKDE1A; BCKDH E1-alpha,,593,branched chain keto acid dehydrogenase E1 subunit alpha,branched chain keto acid dehydrogenase E1; alpha polypeptide (maple syrup urine disease); 2-oxoisovalerate dehydrogenase (lipoamide); branched chain keto acid dehydrogenase E1; alpha polypeptide,maple syrup urine disease; 2-oxoisovalerate dehydrogenase subunit alpha; mitochondrial,MSU,branched chain keto acid dehydrogenase E1 subunit alpha,BCKDE1A; MSU; MSUD1; MSUD1A; OVD1A,BCKDHA
P12755,SKI_HUMAN,SKI,Ski oncogene; Proto-oncogene c-Ski,,6497,SKI proto-oncogene,v-ski avian sarcoma viral oncogene homolog,Sloan-Kettering Institute proto-oncogene,,SKI proto-oncogene,SGS; SKV,SKI
P12814,ACTN1_HUMAN,ACTN1,Alpha-actinin-1; Alpha-actinin cytoskeletal isoform; F-actin cross-linking protein; Non-muscle alpha-actinin-1,,87,actinin alpha 1,,,,actinin alpha 1,BDPLT15,ACTN1
P12821,ACE_HUMAN,ACE; DCP; DCP1,Angiotensin-converting enzyme; ACE; EC 3.4.15.1; Dipeptidyl carboxypeptidase I; Kininase II; CD antigen CD143,DCP; DCP1,1636,angiotensin I converting enzyme,angiotensin I converting enzyme (peptidyl-dipeptidase A) 1,peptidyl-dipeptidase A,ACE1; CD143,angiotensin I converting enzyme,ACE1; CD143; DCP; DCP1,ACE
P12829,MYL4_HUMAN,MYL4; MLC1; PRO1957,Myosin light chain 4; Myosin light chain 1; embryonic muscle/atrial isoform; Myosin light chain alkali GT-1 isoform,MLC1,4635,myosin light chain 4,myosin; light polypeptide 4; alkali; atrial; embryonic; myosin; light chain 4; alkali; atrial; embryonic,myosin; atrial/fetal muscle; light chain; atrial myosin light chain 1,ALC1; AMLC; GT1; PRO1957,myosin light chain 4,ALC1; AMLC; GT1; PRO1957,MYL4
P12830,CADH1_HUMAN,CDH1; CDHE; UVO,Cadherin-1; CAM 120/80; Epithelial cadherin; E-cadherin; Uvomorulin; CD antigen CD324,CDHE; UVO,999,cadherin 1,cadherin 1; type 1; E-cadherin (epithelial),E-Cadherin,uvomorulin; CD324,cadherin 1,Arc-1; BCDS1; CD324; CDHE; ECAD; LCAM; UVO,CDH1
P12931,SRC_HUMAN,SRC; SRC1,Proto-oncogene tyrosine-protein kinase Src; EC 2.7.10.2; Proto-oncogene c-Src; pp60c-src; p60-Src,SRC1,6714,SRC proto-oncogene; non-receptor tyrosine kinase,v-src avian sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog,,ASV; c-src,SRC proto-oncogene; non-receptor tyrosine kinase,ASV; SRC1; THC6; c-SRC; p60-Src,SRC
P12956,XRCC6_HUMAN,XRCC6; G22P1,X-ray repair cross-complementing protein 6; EC 3.6.4.-; EC 4.2.99.-; 5'-deoxyribose-5-phosphate lyase Ku70; 5'-dRP lyase Ku70; 70 kDa subunit of Ku antigen; ATP-dependent DNA helicase 2 subunit 1; ATP-dependent DNA helicase II 70 kDa subunit; CTC box-binding factor 75 kDa subunit; CTC75; CTCBF; DNA repair protein XRCC6; Lupus Ku autoantigen protein p70; Ku70; Thyroid-lupus autoantigen; TLAA; X-ray repair complementing defective repair in Chinese hamster cells 6,G22P1,2547,X-ray repair cross complementing 6,thyroid autoantigen 70kD (Ku antigen); thyroid autoantigen 70kDa (Ku antigen); X-ray repair complementing defective repair in Chinese hamster cells 6,Ku autoantigen; 70kDa,D22S731; D22S671; KU70; ML8,X-ray repair cross complementing 6,CTC75; CTCBF; G22P1; KU70; ML8; TLAA,XRCC6
P12980,LYL1_HUMAN,LYL1; BHLHA18,Protein lyl-1; Class A basic helix-loop-helix protein 18; bHLHa18; Lymphoblastic leukemia-derived sequence 1,BHLHA18,4066,LYL1 basic helix-loop-helix family member,lymphoblastic leukemia derived sequence 1; lymphoblastic leukemia associated hematopoiesis regulator 1,,bHLHa18,LYL1 basic helix-loop-helix family member,bHLHa18,LYL1
P13010,XRCC5_HUMAN,XRCC5; G22P2,X-ray repair cross-complementing protein 5; EC 3.6.4.-; 86 kDa subunit of Ku antigen; ATP-dependent DNA helicase 2 subunit 2; ATP-dependent DNA helicase II 80 kDa subunit; CTC box-binding factor 85 kDa subunit; CTC85; CTCBF; DNA repair protein XRCC5; Ku80; Ku86; Lupus Ku autoantigen protein p86; Nuclear factor IV; Thyroid-lupus autoantigen; TLAA; X-ray repair complementing defective repair in Chinese hamster cells 5 (double-strand-break rejoining,G22P2,7520,X-ray repair cross complementing 5,X-ray repair complementing defective repair in Chinese hamster cells 5 (double-strand-break rejoining; Ku autoantigen; 80kD),Ku autoantigen; 80kDa,KU80; KARP-1; Ku86; KUB2,X-ray repair cross complementing 5,KARP-1; KARP1; KU80; KUB2; Ku86; NFIV,XRCC5
P13051,UNG_HUMAN,UNG; DGU; UNG1; UNG15,Uracil-DNA glycosylase; UDG; EC 3.2.2.27,DGU; UNG1; UNG15,7374,uracil DNA glycosylase,,uracil-DNA glycosylase 1; uracil-DNA glycosylase 2,UDG; UNG1; UNG2; HIGM4,uracil DNA glycosylase,DGU; HIGM4; HIGM5; UDG; UNG1; UNG15; UNG2,UNG
P13349,MYF5_HUMAN,MYF5; BHLHC2,Myogenic factor 5; Myf-5; Class C basic helix-loop-helix protein 2; bHLHc2,BHLHC2,4617,myogenic factor 5,,,bHLHc2,myogenic factor 5,EORVA; bHLHc2,MYF5
P13473,LAMP2_HUMAN,LAMP2,Lysosome-associated membrane glycoprotein 2; LAMP-2; Lysosome-associated membrane protein 2; CD107 antigen-like family member B; LGP-96; CD antigen CD107b,,3920,lysosomal associated membrane protein 2,lysosomal-associated membrane protein 2,,CD107b,lysosomal associated membrane protein 2,CD107b; DND; LAMP-2; LAMPB; LGP-96; LGP110,LAMP2
P13498,CY24A_HUMAN,CYBA,Cytochrome b-245 light chain; Cytochrome b(558; Cytochrome b558 subunit alpha; Neutrophil cytochrome b 22 kDa polypeptide; Superoxide-generating NADPH oxidase light chain subunit; p22 phagocyte B-cytochrome; p22-phox; p22phox,,1535,cytochrome b-245 alpha chain,cytochrome b-245; alpha polypeptide,flavocytochrome b-558 alpha polypeptide; Cytochrome b-245 light chain,p22-PHOX; p22phox,cytochrome b-245 alpha chain,CGD4; p22-PHOX,CYBA
P13569,CFTR_HUMAN,CFTR; ABCC7,Cystic fibrosis transmembrane conductance regulator; CFTR; ATP-binding cassette sub-family C member 7; Channel conductance-controlling ATPase; EC 5.6.1.6; cAMP-dependent chloride channel,ABCC7,1080,CF transmembrane conductance regulator,cystic fibrosis transmembrane conductance regulator; ATP-binding cassette (sub-family C; member 7),ATP-binding cassette sub-family C; member 7,MRP7; ABC35; TNR-CFTR; dJ760C5.1; CFTR/MRP,CF transmembrane conductance regulator,ABC35; ABCC7; CF; CFTR/MRP; MRP7; TNR-CFTR; dJ760C5.1,CFTR
P13612,ITA4_HUMAN,ITGA4; CD49D,Integrin alpha-4; CD49 antigen-like family member D; Integrin alpha-IV; VLA-4 subunit alpha; CD antigen CD49d,CD49D,3676,integrin subunit alpha 4,integrin; alpha 4 (antigen CD49D; alpha 4 subunit of VLA-4 receptor),antigen CD49D; alpha 4 subunit of VLA-4 receptor,CD49d,integrin subunit alpha 4,CD49D; IA4,ITGA4
P13631,RARG_HUMAN,RARG; NR1B3,Retinoic acid receptor gamma; RAR-gamma; Nuclear receptor subfamily 1 group B member 3,NR1B3,5916,retinoic acid receptor gamma,retinoic acid receptor; gamma,,RARC; NR1B3; RARgamma; RAR-gamma,retinoic acid receptor gamma,NR1B3; RARC; RARgamma,RARG
P13637,AT1A3_HUMAN,ATP1A3,Sodium/potassium-transporting ATPase subunit alpha-3; Na(+; +; EC 7.2.2.13; Na(+; +; III; Sodium pump subunit alpha-3,,478,ATPase Na+/K+ transporting subunit alpha 3,dystonia 12; ATPase; Na+/K+ transporting; alpha 3 polypeptide,sodium/potassium-transporting ATPase subunit alpha-3; sodium pump subunit alpha-3; sodium-potassium ATPase catalytic subunit alpha-3,,ATPase Na+/K+ transporting subunit alpha 3,AHC2; ATP1A1; CAPOS; DEE99; DYT12; RDP,ATP1A3
P13639,EF2_HUMAN,EEF2; EF2,Elongation factor 2; EF-2; EC 3.6.5.-,EF2,1938,eukaryotic translation elongation factor 2,,polypeptidyl-tRNA translocase,EEF-2,eukaryotic translation elongation factor 2,EEF-2; EF-2; EF2; SCA26,EEF2
P13686,PPA5_HUMAN,ACP5,Tartrate-resistant acid phosphatase type 5; TR-AP; EC 3.1.3.2; Tartrate-resistant acid ATPase; TrATPase; Type 5 acid phosphatase,,54,acid phosphatase 5; tartrate resistant,,tartrate-resistant acid phosphatase; human purple acid phosphatase,TRAP; HPAP; TRAcP,acid phosphatase 5; tartrate resistant,HPAP; TRACP5a; TRACP5b; TRAP; TRAcP; TrATPase,ACP5
P13688,CEAM1_HUMAN,CEACAM1; BGP; BGP1,Cell adhesion molecule CEACAM1; Biliary glycoprotein 1; BGP-1; Carcinoembryonic antigen-related cell adhesion molecule 1; CEA cell adhesion molecule 1; CD antigen CD66a,BGP; BGP1,634,CEA cell adhesion molecule 1,carcinoembryonic antigen-related cell adhesion molecule 1 (biliary glycoprotein); carcinoembryonic antigen related cell adhesion molecule 1,,BGP1; CD66a,CEA cell adhesion molecule 1,BGP; BGP1; BGPI,CEACAM1
P13693,TCTP_HUMAN,TPT1,Translationally-controlled tumor protein; TCTP; Fortilin; Histamine-releasing factor; HRF; p23,,7178,tumor protein; translationally-controlled 1,,,TCTP; fortilin,tumor protein; translationally-controlled 1,HRF; TCTP; p02; p23,TPT1
P13726,TF_HUMAN,F3,Tissue factor; TF; Coagulation factor III; Thromboplastin; CD antigen CD142,,2152,coagulation factor III; tissue factor,coagulation factor III (thromboplastin; tissue factor),tissue factor,CD142; TF,coagulation factor III; tissue factor,CD142; TF; TFA,F3
P13796,PLSL_HUMAN,LCP1; PLS2,Plastin-2; L-plastin; LC64P; Lymphocyte cytosolic protein 1; LCP-1,PLS2,3936,lymphocyte cytosolic protein 1,lymphocyte cytosolic protein 1 (L-plastin),plastin 2,PLS2; CP64; L-PLASTIN; LC64P,lymphocyte cytosolic protein 1,CP64; HEL-S-37; L-PLASTIN; LC64P; LPL; PLS2,LCP1
P13807,GYS1_HUMAN,GYS1; GYS,Glycogen starch synthase; muscle; EC 2.4.1.11; Glycogen synthase 1,GYS,2997,glycogen synthase 1,glycogen synthase 1 (muscle),,GSY,glycogen synthase 1,GSY; GYS,GYS1
P13861,KAP2_HUMAN,PRKAR2A; PKR2; PRKAR2,cAMP-dependent protein kinase type II-alpha regulatory subunit,PKR2; PRKAR2,5576,protein kinase cAMP-dependent type II regulatory subunit alpha,protein kinase; cAMP-dependent; regulatory; type II; alpha; protein kinase; cAMP-dependent; regulatory subunit type II alpha,,,protein kinase cAMP-dependent type II regulatory subunit alpha,PKR2; PRKAR2,PRKAR2A
P14136,GFAP_HUMAN,GFAP,Glial fibrillary acidic protein; GFAP,,2670,glial fibrillary acidic protein,,intermediate filament protein,FLJ45472,glial fibrillary acidic protein,ALXDRD,GFAP
P14317,HCLS1_HUMAN,HCLS1; HS1,Hematopoietic lineage cell-specific protein; Hematopoietic cell-specific LYN substrate 1; LckBP1; p75,HS1,3059,hematopoietic cell-specific Lyn substrate 1,,cortactin-like,HS1; CTTNL,hematopoietic cell-specific Lyn substrate 1,CTTNL; HS1; lckBP1; p75,HCLS1
P14415,AT1B2_HUMAN,ATP1B2,Sodium/potassium-transporting ATPase subunit beta-2; Adhesion molecule in glia; AMOG; Sodium/potassium-dependent ATPase subunit beta-2,,482,ATPase Na+/K+ transporting subunit beta 2,ATPase; Na+/K+ transporting; beta 2 polypeptide,sodium/potassium-transporting ATPase subunit beta-2; sodium pump subunit beta-2; sodium-potassium ATPase subunit beta 2 (non-catalytic),AMOG,ATPase Na+/K+ transporting subunit beta 2,AMOG,ATP1B2
P14598,NCF1_HUMAN,NCF1; NOXO2; SH3PXD1A,Neutrophil cytosol factor 1; NCF-1; 47 kDa autosomal chronic granulomatous disease protein; 47 kDa neutrophil oxidase factor; NCF-47K; Neutrophil NADPH oxidase factor 1; Nox organizer 2; Nox-organizing protein 2; SH3 and PX domain-containing protein 1A; p47-phox,NOXO2; SH3PXD1A,653361,neutrophil cytosolic factor 1,neutrophil cytosolic factor 1 (47kD; chronic granulomatous disease; autosomal 1),NADPH oxidase organizer 2; chronic granulomatous disease; autosomal 1,p47phox; NOXO2; NCF1A; SH3PXD1A,neutrophil cytosolic factor 1,CGD1; NCF-1; NCF-47K; NCF1A; NOXO2; SH3PXD1A; p47-phox; p47phox,NCF1
P14618,KPYM_HUMAN,PKM; OIP3; PK2; PK3; PKM2,Pyruvate kinase PKM; EC 2.7.1.40; Cytosolic thyroid hormone-binding protein; CTHBP; Opa-interacting protein 3; OIP-3; Pyruvate kinase 2/3; Pyruvate kinase muscle isozyme; Threonine-protein kinase PKM2; EC 2.7.11.1; Thyroid hormone-binding protein 1; THBP1; Tumor M2-PK; Tyrosine-protein kinase PKM2; EC 2.7.10.2; p58,OIP3; PK2; PK3; PKM2,5315,pyruvate kinase M1/2,pyruvate kinase; muscle,,THBP1; OIP3; PK3,pyruvate kinase M1/2,CTHBP; HEL-S-30; OIP3; PK3; PKM2; TCB; THBP1; p58,PKM
P14625,ENPL_HUMAN,HSP90B1; GRP94; HSPC4; TRA1,Endoplasmin; 94 kDa glucose-regulated protein; GRP-94; Heat shock protein 90 kDa beta member 1; Heat shock protein family C member 4; Tumor rejection antigen 1; gp96 homolog,GRP94; HSPC4; TRA1,7184,heat shock protein 90 beta family member 1,tumor rejection antigen (gp96) 1; heat shock protein 90kDa beta (Grp94); member 1,endoplasmin,GP96; GRP94,heat shock protein 90 beta family member 1,ECGP; GP96; GRP94; HEL-S-125m; HEL35; TRA1,HSP90B1
P14635,CCNB1_HUMAN,CCNB1; CCNB,G2/mitotic-specific cyclin-B1,CCNB,891,cyclin B1,,G2/mitotic-specific cyclin B1,,cyclin B1,CCNB,CCNB1
P14649,MYL6B_HUMAN,MYL6B; MLC1SA,Myosin light chain 6B; Myosin light chain 1 slow-twitch muscle A isoform; MLC1sa; Smooth muscle and nonmuscle myosin light chain alkali 6B,MLC1SA,140465,myosin light chain 6B,myosin; light polypeptide 6B; alkali; smooth muscle and non-muscle; myosin; light chain 6B; alkali; smooth muscle and non-muscle,myosin light chain 1 slow a,MLC1SA,myosin light chain 6B,MLC1SA,MYL6B
P14672,GLUT4_HUMAN,SLC2A4; GLUT4,Solute carrier family 2; facilitated glucose transporter member 4; Glucose transporter type 4; insulin-responsive; GLUT-4,GLUT4,6517,solute carrier family 2 member 4,solute carrier family 2 (facilitated glucose transporter); member 4,,,solute carrier family 2 member 4,GLUT4,SLC2A4
P14679,TYRO_HUMAN,TYR,Tyrosinase; EC 1.14.18.1; LB24-AB; Monophenol monooxygenase; SK29-AB; Tumor rejection antigen AB,,7299,tyrosinase,,oculocutaneous albinism IA,OCAIA; OCA1A; OCA1,tyrosinase,ATN; CMM8; OCA1; OCA1A; OCAIA; SHEP3,TYR
P14784,IL2RB_HUMAN,IL2RB; IL15RB,Interleukin-2 receptor subunit beta; IL-2 receptor subunit beta; IL-2R subunit beta; IL-2RB; High affinity IL-2 receptor subunit beta; Interleukin-15 receptor subunit beta; p70-75; p75; CD antigen CD122,IL15RB,3560,interleukin 2 receptor subunit beta,interleukin 15 receptor; beta; interleukin 2 receptor; beta,,CD122,interleukin 2 receptor subunit beta,CD122; IL15RB; IMD63; P70-75,IL2RB
P14859,PO2F1_HUMAN,POU2F1; OCT1; OTF1,POU domain; class 2; transcription factor 1; NF-A1; Octamer-binding protein 1; Oct-1; Octamer-binding transcription factor 1; OTF-1,OCT1; OTF1,5451,POU class 2 homeobox 1,POU domain class 2; transcription factor 1,,OCT1,POU class 2 homeobox 1,OCT1; OTF1; Oct1Z; oct-1B,POU2F1
P14866,HNRPL_HUMAN,HNRNPL; HNRPL; P/OKcl.14,Heterogeneous nuclear ribonucleoprotein L; hnRNP L,HNRPL,3191,heterogeneous nuclear ribonucleoprotein L,,,,heterogeneous nuclear ribonucleoprotein L,HNRPL; P/OKcl.14; hnRNP-L,HNRNPL
P14921,ETS1_HUMAN,ETS1; EWSR2,Protein C-ets-1; p54,EWSR2,2113,ETS proto-oncogene 1; transcription factor,v-ets avian erythroblastosis virus E26 oncogene homolog 1,Avian erythroblastosis virus E26 (v-ets) oncogene homolog-1; ets protein,FLJ10768; ETS-1,ETS proto-oncogene 1; transcription factor,ETS-1; EWSR2; c-ets-1; p54,ETS1
P14923,PLAK_HUMAN,JUP; CTNNG; DP3,Junction plakoglobin; Catenin gamma; Desmoplakin III; Desmoplakin-3,CTNNG; DP3,3728,junction plakoglobin,catenin (cadherin-associated protein); gamma 80kDa,desmosomal protein 3,DP3; PDGB; PKGB; DPIII; PG,junction plakoglobin,CTNNG; DP3; DPIII; PDGB; PG; PKGB,JUP
P15036,ETS2_HUMAN,ETS2,Protein C-ets-2,,2114,ETS proto-oncogene 2; transcription factor,v-ets erythroblastosis virus E26 oncogene homolog 2 (avian); v-ets avian erythroblastosis virus E26 oncogene homolog 2,,,ETS proto-oncogene 2; transcription factor,ETS2IT1,ETS2
P15056,BRAF_HUMAN,BRAF; BRAF1; RAFB1,Serine/threonine-protein kinase B-raf; EC 2.7.11.1; Proto-oncogene B-Raf; p94; v-Raf murine sarcoma viral oncogene homolog B1,BRAF1; RAFB1,673,B-Raf proto-oncogene; serine/threonine kinase,v-raf murine sarcoma viral oncogene homolog B,,BRAF1; BRAF-1,B-Raf proto-oncogene; serine/threonine kinase,B-RAF1; B-raf; BRAF-1; BRAF1; NS7; RAFB1,BRAF
P15090,FABP4_HUMAN,FABP4,Fatty acid-binding protein; adipocyte; Adipocyte lipid-binding protein; ALBP; Adipocyte-type fatty acid-binding protein; A-FABP; AFABP; Fatty acid-binding protein 4,,2167,fatty acid binding protein 4,,adipocyte fatty acid binding protein,A-FABP; aP2,fatty acid binding protein 4,A-FABP; AFABP; ALBP; HEL-S-104; aP2,FABP4
P15104,GLNA_HUMAN,GLUL; GLNS,Glutamine synthetase; GS; EC 6.3.1.2; Glutamate--ammonia ligase; Palmitoyltransferase GLUL; EC 2.3.1.225,GLNS,2752,glutamate-ammonia ligase,glutamate-ammonia ligase (glutamine synthase),glutamine synthetase,,glutamate-ammonia ligase,DEE116; GLNS; GS; PIG43; PIG59,GLUL
P15153,RAC2_HUMAN,RAC2,Ras-related C3 botulinum toxin substrate 2; EC 3.6.5.2; GX; Small G protein; p21-Rac2,,5880,Rac family small GTPase 2,ras-related C3 botulinum toxin substrate 2 (rho family; small GTP binding protein Rac2),,EN-7,Rac family small GTPase 2,EN-7; Gx; HSPC022; IMD73A; IMD73B; IMD73C; p21-Rac2,RAC2
P15172,MYOD1_HUMAN,MYOD1; BHLHC1; MYF3; MYOD,Myoblast determination protein 1; Class C basic helix-loop-helix protein 1; bHLHc1; Myogenic factor 3; Myf-3,BHLHC1; MYF3; MYOD,4654,myogenic differentiation 1,myogenic factor 3,myoblast determination protein 1,PUM; MYOD; bHLHc1,myogenic differentiation 1,CMYO17; CMYP17; MYF3; MYOD; MYODRIF; PUM; bHLHc1,MYOD1
P15260,INGR1_HUMAN,IFNGR1,Interferon gamma receptor 1; IFN-gamma receptor 1; IFN-gamma-R1; CDw119; Interferon gamma receptor alpha-chain; IFN-gamma-R-alpha; CD antigen CD119,,3459,interferon gamma receptor 1,,,CD119,interferon gamma receptor 1,CD119; IFNGR; IMD27A; IMD27B,IFNGR1
P15289,ARSA_HUMAN,ARSA,Arylsulfatase A; ASA; EC 3.1.6.8; Cerebroside-sulfatase,,410,arylsulfatase A,,metachromatic leucodystrophy,ASA,arylsulfatase A,ASA; MLD,ARSA
P15309,PPAP_HUMAN,ACP3; ACPP,Prostatic acid phosphatase; PAP; EC 3.1.3.2; 5'-nucleotidase; 5'-NT; EC 3.1.3.5; Acid phosphatase 3; Ecto-5'-nucleotidase; Protein tyrosine phosphatase ACP3; EC 3.1.3.48; Thiamine monophosphatase; TMPase,ACPP,55,acid phosphatase 3,acid phosphatase; prostate,prostatic acid phosphatase,ACP-3; PAP; TM-PAP,acid phosphatase 3,5'-NT; ACP-3; ACPP; TM-PAP,ACP3
P15311,EZRI_HUMAN,EZR; VIL2,Ezrin; Cytovillin; Villin-2; p81,VIL2,7430,ezrin,villin 2 (ezrin),cytovillin 2,,ezrin,CVIL; CVL; HEL-S-105; VIL2,EZR
P15336,ATF2_HUMAN,ATF2; CREB2; CREBP1,Cyclic AMP-dependent transcription factor ATF-2; cAMP-dependent transcription factor ATF-2; Activating transcription factor 2; Cyclic AMP-responsive element-binding protein 2; CREB-2; cAMP-responsive element-binding protein 2; HB16; cAMP response element-binding protein CRE-BP1,CREB2; CREBP1,1386,activating transcription factor 2,cAMP responsive element binding protein 2,,TREB7; CRE-BP1; HB16,activating transcription factor 2,CRE-BP1; CREB-2; CREB2; HB16; TREB7,ATF2
P15374,UCHL3_HUMAN,UCHL3,Ubiquitin carboxyl-terminal hydrolase isozyme L3; UCH-L3; EC 3.4.19.12; Ubiquitin thioesterase L3,,7347,ubiquitin C-terminal hydrolase L3,ubiquitin carboxyl-terminal esterase L3 (ubiquitin thiolesterase),ubiquitin thiolesterase,,ubiquitin C-terminal hydrolase L3,UCH-L3,UCHL3
P15382,KCNE1_HUMAN,KCNE1,Potassium voltage-gated channel subfamily E member 1; Delayed rectifier potassium channel subunit IsK; IKs producing slow voltage-gated potassium channel subunit beta Mink; Minimal potassium channel; MinK,,3753,potassium voltage-gated channel subfamily E regulatory subunit 1,potassium voltage-gated channel; Isk-related family; member 1; potassium channel; voltage gated subfamily E regulatory beta subunit 1,Jervell and Lange-Nielsen syndrome 2; Long QT syndrome 5,minK; IsK; JLNS2; LQT5,potassium voltage-gated channel subfamily E regulatory subunit 1,ISK; JLNS; JLNS2; LQT2/5; LQT5; MinK,KCNE1
P15391,CD19_HUMAN,CD19,B-lymphocyte antigen CD19; B-lymphocyte surface antigen B4; Differentiation antigen CD19; T-cell surface antigen Leu-12; CD antigen CD19,,930,CD19 molecule,CD19 antigen,,,CD19 molecule,B4; CVID3,CD19
P15407,FOSL1_HUMAN,FOSL1; FRA1,Fos-related antigen 1; FRA-1,FRA1,8061,FOS like 1; AP-1 transcription factor subunit,FOS like antigen 1,,fra-1,FOS like 1; AP-1 transcription factor subunit,FRA; FRA1; fra-1,FOSL1
P15408,FOSL2_HUMAN,FOSL2; FRA2,Fos-related antigen 2; FRA-2,FRA2,2355,FOS like 2; AP-1 transcription factor subunit,FOS like antigen 2,,FRA2; FLJ23306,FOS like 2; AP-1 transcription factor subunit,ACED; FRA2,FOSL2
P15498,VAV_HUMAN,VAV1; VAV,Proto-oncogene vav,VAV,7409,vav guanine nucleotide exchange factor 1,vav 1 oncogene; vav 1 guanine nucleotide exchange factor,,,vav guanine nucleotide exchange factor 1,VAV,VAV1
P15529,MCP_HUMAN,CD46; MCP; MIC10,Membrane cofactor protein; TLX; Trophoblast leukocyte common antigen; CD antigen CD46,MCP; MIC10,4179,CD46 molecule,antigen identified by monoclonal antibody TRA-2-10; membrane cofactor protein (CD46; trophoblast-lymphocyte cross-reactive antigen); CD46 antigen; complement regulatory protein; CD46 molecule; complement regulatory protein,trophoblast-lymphocyte cross-reactive antigen,TRA2.10; MGC26544; TLX,CD46 molecule,AHUS2; MCP; MIC10; TLX; TRA2.10,CD46
P15531,NDKA_HUMAN,NME1; NDPKA; NM23,Nucleoside diphosphate kinase A; NDK A; NDP kinase A; EC 2.7.4.6; Granzyme A-activated DNase; GAAD; Metastasis inhibition factor nm23; NM23-H1; Tumor metastatic process-associated protein,NDPKA; NM23,4830,NME/NM23 nucleoside diphosphate kinase 1,non-metastatic cells 1; protein (NM23A) expressed in,,NM23; NM23-H1; NDPKA,NME/NM23 nucleoside diphosphate kinase 1,AWD; GAAD; NB; NBS; NDKA; NDPK-A; NDPKA; NM23; NM23-H1,NME1
P15735,PHKG2_HUMAN,PHKG2,Phosphorylase b kinase gamma catalytic chain; liver/testis isoform; PHK-gamma-LT; PHK-gamma-T; EC 2.7.11.19; PSK-C3; Phosphorylase kinase subunit gamma-2,,5261,phosphorylase kinase catalytic subunit gamma 2,phosphorylase kinase; gamma 2 (testis),,,phosphorylase kinase catalytic subunit gamma 2,GSD9C,PHKG2
P15822,ZEP1_HUMAN,HIVEP1; ZNF40,Zinc finger protein 40; Cirhin interaction protein; CIRIP; Gate keeper of apoptosis-activating protein; GAAP; Human immunodeficiency virus type I enhancer-binding protein 1; HIV-EP1; Major histocompatibility complex-binding protein 1; MBP-1; Positive regulatory domain II-binding factor 1; PRDII-BF1,ZNF40,3096,HIVEP zinc finger 1,human immunodeficiency virus type I enhancer-binding protein 1; zinc finger protein 40; human immunodeficiency virus type I enhancer binding protein 1,,CIRIP; MBP-1; CRYBP1; PRDII-BF1; ZAS1; Schnurri-1; ZNF40A,HIVEP zinc finger 1,CIRIP; CRYBP1; GAAP; MBP-1; PRDII-BF1; Schnurri-1; ZAS1; ZNF40; ZNF40A,HIVEP1
